"file" "distance"
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00143.CSV" 6.34991325935245
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00318.CSV" 6.55004537636955
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00070.CSV" 6.57093191198935
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00132.CSV" 6.70960928991399
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00181.CSV" 6.71808180244927
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00231.CSV" 6.75348939945122
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00250.CSV" 6.78389248355986
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00174.CSV" 6.90449118690871
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00152.CSV" 6.91922564254846
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00267.CSV" 7.00423374164512
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00107.CSV" 7.00434150168309
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00271.CSV" 7.01654777577265
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00146.CSV" 7.04500850866769
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00205.CSV" 7.05158407483737
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00220.CSV" 7.06977796157701
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00199.CSV" 7.12345313432327
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00263.CSV" 7.19932147539614
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00264.CSV" 7.20345910647101
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00061.CSV" 7.30617440257212
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00017.CSV" 7.34328566439439
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00114.CSV" 7.4019114618928
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00204.CSV" 7.43487705765873
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00159.CSV" 7.44438845607885
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00050.CSV" 7.44807298315478
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00022.CSV" 7.48015862379937
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00312.CSV" 7.48147770032766
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00051.CSV" 7.48509919825382
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00047.CSV" 7.56376985287099
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00123.CSV" 7.57867168869322
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00116.CSV" 7.57946930333516
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00102.CSV" 7.62158733391543
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00086.CSV" 7.63651416850647
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00124.CSV" 7.64687701154531
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00313.CSV" 7.71674901450734
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00036.CSV" 7.81851252477094
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00224.CSV" 7.81964507312832
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00192.CSV" 7.83079276625299
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00155.CSV" 7.92486094073581
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00315.CSV" 7.95850367918494
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00260.CSV" 7.99030619907023
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00058.CSV" 8.00697066267262
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00145.CSV" 8.04175088488198
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00169.CSV" 8.07096493524784
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00185.CSV" 8.1041672452202
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00060.CSV" 8.11197211070774
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00147.CSV" 8.17546163797495
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00109.CSV" 8.25609510062112
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00233.CSV" 8.26734464619082
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00230.CSV" 8.29938742911789
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00316.CSV" 8.30258672658708
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00219.CSV" 8.31362392110685
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00208.CSV" 8.31561415589974
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00097.CSV" 8.46039842897485
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00293.CSV" 8.52315871194477
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00283.CSV" 8.56329580246414
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00216.CSV" 8.59308493097212
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00324.CSV" 8.66073633198702
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00301.CSV" 8.66607375304412
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00150.CSV" 8.67095132571969
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00251.CSV" 8.71153805362177
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00062.CSV" 8.71698022515252
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00319.CSV" 8.7687812520384
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00105.CSV" 8.77642032432928
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00232.CSV" 8.81453899297065
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00276.CSV" 8.81720789961312
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00299.CSV" 8.84023561592111
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00186.CSV" 8.84928625963699
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00256.CSV" 8.91485141863846
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00239.CSV" 8.95724694897936
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00279.CSV" 8.96620562611633
"C:/Users/nehap/OneDrive/4th SEM FINAL/winddata/SITE_00212.CSV" 8.97895597076854
